wave	depth	depth err
3.017	0.021611142	7.09E-05
3.068	0.021493965	7.36E-05
3.118	0.02148527	6.95E-05
3.167	0.021272148	7.33E-05
3.216	0.021334765	7.67E-05
3.264	0.02114259	8.03E-05
3.311	0.021222619	8.32E-05
3.358	0.021099946	8.07E-05
3.405	0.021354592	8.24E-05
3.451	0.021173928	8.22E-05
3.497	0.021048253	8.35E-05
3.542	0.021156181	8.88E-05
3.587	0.021170639	8.74E-05
3.632	0.021247712	9.59E-05
3.677	0.021118593	8.90E-05
3.721	0.020927965	9.16E-05
3.764	0.021019795	9.32E-05
3.808	0.020912655	9.87E-05
3.85	0.02088772	9.31E-05
3.893	0.020872764	0.000104164
3.934	0.021004773	0.000108153
3.976	0.021174948	0.000115081
4.016	0.021371894	0.00010892
4.056	0.021324817	0.000107547
4.096	0.02103133	0.000116425
4.134	0.020950192	0.000122771
4.173	0.021275564	0.000114921
4.21	0.021611564	0.000125624
4.248	0.021976831	0.000121303
4.284	0.022473191	0.000125805
4.32	0.022362759	0.000130405
4.356	0.022767525	0.000126667
4.391	0.022508103	0.000127971
4.426	0.022649865	0.000124802
4.46	0.021686258	0.000142776
4.495	0.022019378	0.000130357
4.529	0.02169412	0.00014738
4.563	0.021565237	0.00015208
4.596	0.021805612	0.000156295
4.63	0.021490336	0.00015594
4.664	0.02132867	0.000157755
4.697	0.021788808	0.000141729
4.731	0.021546694	0.000181034
4.764	0.021676033	0.00016473
4.798	0.021552341	0.000176866
4.831	0.021404347	0.000160682
4.865	0.021666418	0.000176984
4.898	0.021024994	0.000161962
4.931	0.021509151	0.000174524
4.964	0.02159004	0.000179436
4.996	0.021171932	0.000167647
5.028	0.021190093	0.000191923
5.06	0.021212556	0.000181068
5.091	0.021376623	0.000211516
5.122	0.021100159	0.00021276
5.152	0.021684972	0.000200706
5.182	0.021186152	0.000222576
5.211	0.021303334	0.000219489
5.24	0.021669038	0.0001974
5.268	0.021472878	0.000211001
5.296	0.021240768	0.000249663
5.324	0.020818381	0.000241761
5.352	0.021187897	0.000311847
5.379	0.020863238	0.000271389
5.408	0.020937227	0.000320869
5.436	0.020590338	0.00040193
5.465	0.0196189	0.000573651
