# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: time, unit: d, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: uncertainty, datatype: float64}
# - {name: planet_model, datatype: float64}
# - {name: systematics_model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# meta: {name: WASP-39b, time_label: Time from Mid-Transit, tscale: linear, wscale: log}
# schema: astropy-2.0
wavelength time flux uncertainty planet_model systematics_model model residuals
3.017 -0.19031616235344773 0.9999430363491972 0.0003399797540759257 1.0 1.0039857033010617 1.0000000137353753 -5.6977386178047595e-05
3.017 -0.18963062698214417 1.0002308239916273 0.00033998346287717764 1.0 1.0039747510523793 1.000000015510639 0.0002308084809883315
3.017 -0.1889450920765019 1.0006723190757887 0.0003399871363175025 1.0 1.0039639034615686 1.0000000179353854 0.0006723011404032864
3.017 -0.18825955717085963 1.000338066115057 0.00033999082646790537 1.0 1.0039530067622626 1.00000002019668 0.00033804591837682807
3.017 -0.18757402179955607 1.0002715714328527 0.0003399945079351579 1.0 1.0039421359392604 1.0000000230554493 0.00027154837740339666
3.017 -0.1868884864282525 0.9999510224401578 0.0003399982221367688 1.0 1.003931168695152 1.0000000260717374 -4.900363157966936e-05
3.017 -0.18620295152261024 0.9999178503115513 0.0003400018193258552 1.0 1.0039205471924477 1.0000000279261991 -8.217761464779372e-05
3.017 -0.18551741661696797 1.0000100556916338 0.0003400054818332362 1.0 1.003909733053822 1.0000000312868755 1.0024404758279815e-05
3.017 -0.1848318812456644 1.000442609490854 0.0003400091416794206 1.0 1.0038989270055263 1.000000033408657 0.0004425760821971103
3.017 -0.18414634587436085 0.9995387864158719 0.0003400128233237691 1.0 1.0038880568307635 1.0000000362194914 -0.0004612498036195012
3.017 -0.18346081096871858 1.0000999549844591 0.0003400164724707192 1.0 1.0038772828379208 1.0000000383125027 9.991667195641263e-05
3.017 -0.1827752760630763 1.0002122434328677 0.00034002008374211536 1.0 1.003866620899141 1.0000000410579089 0.00021220237495889194
3.017 -0.18208974069177275 1.0004111606219446 0.0003400237510653418 1.0 1.003855793704383 1.0000000436703862 0.0004111169515583768
3.017 -0.1814042053204692 1.0000019131203068 0.0003400273517195336 1.0 1.00384516356668 1.0000000459096812 1.8672106256722998e-06
3.017 -0.18071866994916563 1.0007214921283636 0.0003400309767833106 1.0 1.0038344615924817 1.0000000481882347 0.0007214439401288519
3.017 -0.18003313504352336 0.9995401302673856 0.00034003459499644124 1.0 1.003823780070415 1.0000000504705218 -0.0004599202031361216
3.017 -0.1793476001378811 0.9995766747261203 0.0003400381608234223 1.0 1.0038132534227278 1.000000052909446 -0.00042337818332560673
3.017 -0.17866206476657753 0.9995193913659342 0.00034004171103988405 1.0 1.003802773078049 1.0000000547571188 -0.00048066339118468804
3.017 -0.17797652939527397 1.0002972722016354 0.00034004527874298516 1.0 1.0037922413327485 1.0000000569178216 0.00029721528381387863
3.017 -0.1772909944896317 0.9996814173595072 0.00034004885013969857 1.0 1.0037816989053585 1.0000000592995104 -0.0003186419400031948
3.017 -0.17660545958398943 0.9998475335233925 0.0003400523802289492 1.0 1.0037712786313322 1.000000061390705 -0.0001525278673124575
3.017 -0.17591992421268587 1.000200896811495 0.00034005588484432164 1.0 1.003760933766237 1.0000000646001326 0.0002008322113624672
3.017 -0.17523438884138232 1.0005813930150371 0.0003400593914879885 1.0 1.0037505831274678 1.0000000665442452 0.0005813264707918986
3.017 -0.17454885393574004 1.0000480434426018 0.0003400629103361214 1.0 1.0037401966790842 1.0000000695761815 4.7973866420303324e-05
3.017 -0.17386331903009777 1.000143361389932 0.00034006638936472317 1.0 1.0037299279757892 1.0000000705581464 0.00014329083178554747
3.017 -0.17317778365879422 1.0001104776483436 0.00034006990574250777 1.0 1.0037195492461195 1.000000072930983 0.00011040471736056823
3.017 -0.17249224828749066 0.9997755348943728 0.00034007339701254576 1.0 1.0037092448353082 1.000000075852961 -0.00022454095858825962
3.017 -0.1718067129161871 0.9998635262461895 0.00034007687579761404 1.0 1.0036989774840641 1.0000000785101288 -0.00013655226393938236
3.017 -0.17112117801054483 0.9998815536085096 0.000340080307020434 1.0 1.0036888507146957 1.0000000808453826 -0.0001185272368730006
3.017 -0.17043564310490256 0.9994966100668223 0.00034008378872872147 1.0 1.00367857515348 1.0000000829148474 -0.0005034728480250994
3.017 -0.169750107733599 1.0000385593360497 0.00034008720078426756 1.0 1.0036685053624355 1.0000000851416921 3.8474194357540625e-05
3.017 -0.16906457236229544 0.9995915448400438 0.0003400906245860149 1.0 1.0036584011086453 1.0000000871010584 -0.00040854226101461055
3.017 -0.16837903745665317 1.0003330606319334 0.00034009405029332586 1.0 1.0036482914348084 1.000000089063725 0.00033297156820832896
3.017 -0.1676935025510109 1.000186492092026 0.0003400974651053281 1.0 1.0036382141170297 1.0000000906017654 0.0001864014902606126
3.017 -0.16700796717970734 0.9999559659839014 0.00034010086314457976 1.0 1.0036281864975332 1.000000092809375 -4.41268254737226e-05
3.017 -0.16632243180840378 1.000283329630776 0.00034010424949999915 1.0 1.0036181935563881 1.0000000947248282 0.00028323490594783785
3.017 -0.1656368969027615 0.999501810323082 0.0003401076631916603 1.0 1.003608120148967 1.0000000964066604 -0.0004982860835783809
3.017 -0.16495136153145795 1.0002577742823877 0.00034011108458507997 1.0 1.00359802421745 1.0000000980075407 0.000257676274846963
3.017 -0.16426582662581568 1.0000833348892681 0.00034011444949707506 1.0 1.0035880951508227 1.0000001003283785 8.323456088965564e-05
3.017 -0.16358029125451212 1.000145252151568 0.000340117845367034 1.0 1.0035780749336836 1.0000001018122016 0.00014515033936635113
3.017 -0.16289475588320856 1.000047041777837 0.00034012117331399204 1.0 1.0035682553315428 1.0000001032473518 4.693853048531871e-05
3.017 -0.1622092209775663 0.9998602489473853 0.00034012454413750743 1.0 1.0035583094116358 1.0000001056231658 -0.00013985667578042538
3.017 -0.16152368607192402 0.9998376010876289 0.00034012795266025544 1.0 1.0035482524571873 1.000000107804336 -0.00016250671670703376
3.017 -0.16083815070062046 0.9996674764495165 0.00034013129505403424 1.0 1.0035383908140967 1.0000001087816193 -0.0003326323321027891
3.017 -0.1601526153293169 1.0002675100056022 0.0003401346746030607 1.0 1.0035284197425038 1.0000001108623198 0.00026739914328244296
3.017 -0.15946708042367463 1.0000483910045397 0.00034013802963510923 1.0 1.003518521202157 1.0000001118526138 4.82791519258452e-05
3.017 -0.15878154551803236 1.000423390440084 0.0003401413546247243 1.0 1.003508711490353 1.0000001131302243 0.00042327730985980416
3.017 -0.1580960101467288 1.0002871590429065 0.0003401446914295028 1.0 1.0034988671130978 1.000000114349804 0.0002870446931024784
3.017 -0.15741047477542525 1.0001447134835173 0.00034014801867764176 1.0 1.0034890511225445 1.0000001154841958 0.0001445979993215385
3.017 -0.15672493986978298 1.000231386928737 0.0003401513434863047 1.0 1.0034792425207142 1.000000116837669 0.0002312700910678256
3.017 -0.15603940449847942 0.9997446285295066 0.0003401546413948432 1.0 1.0034695134670444 1.0000001181281977 -0.0002554895986910388
3.017 -0.15535386959283715 0.999999647530716 0.0003401579332868508 1.0 1.0034598023506833 1.0000001193081944 -4.7177747841686823e-07
3.017 -0.1546683342215336 0.9994475819465776 0.00034016121169845527 1.0 1.0034501311884594 1.0000001207597522 -0.00055253881317463
3.017 -0.15398279885023003 0.9995456195982776 0.0003401644818768634 1.0 1.0034404844994973 1.0000001219998065 -0.000454502401528889
3.017 -0.15329726394458776 1.0003805002750112 0.00034016779274757966 1.0 1.0034307179613755 1.000000124043071 0.0003803762319403159
3.017 -0.1526117290389455 1.0000066552057911 0.0003401710871030089 1.0 1.0034210003293988 1.000000125408794 6.529796997112314e-06
3.017 -0.15192619366764193 0.9998986973618145 0.00034017437506545076 1.0 1.0034113017430142 1.000000126433165 -0.00010142907135057833
3.017 -0.15124065829633837 0.9994881929528516 0.0003401775884700756 1.0 1.0034018232628705 1.0000001281929816 -0.0005119352401299349
3.017 -0.1505551233906961 1.0001778655813534 0.00034018085476738923 1.0 1.0033921889503161 1.0000001302440096 0.00017773533734377622
3.017 -0.14986958848505383 0.9992902879801133 0.00034018404179808013 1.0 1.0033827886219402 1.0000001317526381 -0.0007098437725248097
3.017 -0.14918405311375027 0.9994588060152528 0.00034018724420311003 1.0 1.0033733431234861 1.0000001326699344 -0.0005413266546815398
3.017 -0.1484985177424467 0.9996555179949823 0.0003401904157102485 1.0 1.0033639889336756 1.0000001343788547 -0.0003446163838723981
3.017 -0.14781298283680444 1.0001912727454707 0.0003401936191294264 1.0 1.0033545407980733 1.00000013564031 0.00019113710516061033
3.017 -0.14712744746550088 0.9998373292872723 0.0003401968510923825 1.0 1.0033450086560287 1.000000137246623 -0.00016280795935064152
3.017 -0.1464419125598586 1.0005243100059324 0.00034020003882028496 1.0 1.0033356071553972 1.0000001393271938 0.0005241706787386669
3.017 -0.14575637718855505 0.9995813347325212 0.00034020321465973115 1.0 1.0033262408923471 1.000000139988433 -0.00041880525591186935
3.017 -0.1450708418172515 0.9997112741215886 0.0003402063971456386 1.0 1.0033168552028098 1.000000140856866 -0.00028886673527739326
3.017 -0.14438530691160922 1.000385607049006 0.0003402095853741036 1.0 1.0033074527535706 1.0000001422109455 0.0003854648380605674
3.017 -0.14369977200596695 1.000153739123481 0.0003402127678259417 1.0 1.00329806751601 1.0000001431311407 0.00015359599234021637
3.017 -0.1430142366346634 0.9998982021513765 0.000340215920565738 1.0 1.003288770074139 1.0000001442065785 -0.00010194205520197563
3.017 -0.14232870126335984 0.9990995637991058 0.00034021910334759275 1.0 1.003279384212907 1.0000001452837384 -0.0009005814846325677
3.017 -0.14164316635771756 1.0005006852928455 0.00034022226716861356 1.0 1.0032700544402502 1.0000001458305685 0.0005005394622770165
3.017 -0.1409576314520753 0.999836334981072 0.0003402254094986521 1.0 1.0032607882139755 1.0000001464334691 -0.00016381145239707795
3.017 -0.14027209608077174 0.9994994857714398 0.0003402285601703807 1.0 1.003251497561244 1.0000001471630033 -0.0005006613915635727
3.017 -0.13958656070946818 1.0001223428641273 0.0003402316790684947 1.0 1.0032423007715383 1.0000001484324121 0.000122194431715128
3.017 -0.13890102533816462 1.0005016174669923 0.00034023477257979996 1.0 1.0032331790072466 1.000000149058669 0.0005014684083233245
3.017 -0.13821549043252235 1.0004218275725423 0.0003402378658296449 1.0 1.0032240581797693 1.000000150083466 0.00042167748907617764
3.017 -0.13752995552688008 0.9999116438230712 0.0003402409626139257 1.0 1.0032149270966992 1.0000001505292524 -8.850670618121281e-05
3.017 -0.13684442015557652 0.9993664579099437 0.00034024406239260347 1.0 1.0032057873508993 1.0000001507911302 -0.0006336928811865317
3.017 -0.13615888478427296 0.9993641966827519 0.000340247133011167 1.0 1.0031967337483416 1.0000001506998508 -0.0006359540170989275
3.017 -0.1354733498786307 0.9994261032838386 0.0003402501775332045 1.0 1.0031877572517356 1.0000001517213069 -0.000574048437468222
3.017 -0.13478781497298842 1.0004843277589566 0.00034025326565065696 1.0 1.0031786523821162 1.0000001523265294 0.00048417543242718075
3.017 -0.13410227960168486 1.0002889027272617 0.000340256307208137 1.0 1.0031696849494212 1.0000001527162283 0.0002887500110333452
3.017 -0.1334167442303813 1.0003311183569659 0.00034025934262538985 1.0 1.0031607357798091 1.0000001536518623 0.0003309647051035203
